name,brand,price,notes,scent_profile,longevity,sillage,gender_preference,occasion
Montblanc Spicy 4,Lancôme,185.52,gourmand,luxury,6 hours,light,unisex,special
Givenchy Gourmand 25,Dolce & Gabbana,128.86,fruity,luxury,10 hours,light,unisex,daytime
Creed Spicy 34,Montblanc,252.06,"spicy, gourmand, floral",luxury,12+ hours,strong,female,evening
Dior Aquatic 31,Gucci,120.13,"leather, gourmand",niche,8 hours,light,male,evening
Hugo Boss Fruity 27,Burberry,190.54,"aquatic, fruity",high-end,12+ hours,moderate,unisex,evening
Prada Amber 14,Burberry,148.65,"amber, woody, aquatic",luxury,8 hours,strong,unisex,formal
Hugo Boss Citrus 23,Tom Ford,240.15,"fresh, amber",luxury,4 hours,moderate,male,daytime
Chanel Floral 34,Prada,65.02,"fruity, gourmand, floral",luxury,12+ hours,moderate,unisex,formal
Lancôme Fresh 34,Gucci,123.99,"leather, citrus",luxury,10 hours,light,male,formal
Chanel Oriental 21,Burberry,132.49,"fruity, woody",luxury,10 hours,moderate,female,formal
Dior Fruity 45,Armani,186.32,"citrus, leather",niche,6 hours,light,unisex,evening
Chanel Fresh 42,Hermes,101.0,"floral, leather",niche,12+ hours,light,female,special
Burberry Gourmand 50,Jo Malone,244.97,"oriental, floral, woody",luxury,12+ hours,light,female,daytime
Chanel Leather 7,Creed,259.38,"floral, oriental",niche,12+ hours,moderate,male,casual
Dior Leather 47,Jo Malone,272.27,"floral, fruity, gourmand",luxury,10 hours,light,unisex,evening
Cartier Woody 46,Chanel,99.35,"citrus, fresh, amber",niche,10 hours,light,unisex,formal
Givenchy Leather 19,Dolce & Gabbana,293.12,fresh,luxury,8 hours,moderate,unisex,casual
Prada Fresh 25,Creed,52.57,"gourmand, fruity",basic,6 hours,strong,female,evening
Gucci Leather 47,Prada,204.1,"spicy, floral",niche,4 hours,light,male,casual
Dior Woody 31,Dolce & Gabbana,284.34,"oriental, woody, citrus",luxury,8 hours,moderate,male,daytime
Yves Saint Laurent Aquatic 49,Versace,70.21,"citrus, oriental",luxury,6 hours,strong,female,evening
Creed Aquatic 44,Tom Ford,205.61,aquatic,basic,6 hours,moderate,female,casual
Yves Saint Laurent Citrus 37,Versace,253.99,"gourmand, woody",luxury,10 hours,strong,unisex,formal
Tom Ford Floral 33,Hermes,90.59,"leather, aquatic, spicy",high-end,12+ hours,strong,female,special
Yves Saint Laurent Amber 5,Creed,153.84,"amber, floral, spicy",basic,6 hours,light,male,special
Chanel Leather 28,Cartier,259.09,amber,basic,12+ hours,light,unisex,evening
Armani Aquatic 36,Chanel,79.49,oriental,basic,4 hours,strong,unisex,evening
Chanel Aquatic 24,Dolce & Gabbana,233.53,"aquatic, spicy",basic,6 hours,strong,unisex,daytime
Yves Saint Laurent Gourmand 18,Montblanc,167.39,"woody, fruity, aquatic",high-end,4 hours,strong,male,casual
Chanel Spicy 35,Tom Ford,266.65,fruity,basic,10 hours,light,male,formal
Bvlgari Gourmand 23,Gucci,171.05,spicy,luxury,6 hours,light,female,daytime
Givenchy Aquatic 17,Calvin Klein,166.73,amber,luxury,6 hours,moderate,male,formal
Burberry Spicy 21,Dior,204.1,"aquatic, fresh",basic,6 hours,light,unisex,casual
Versace Fresh 42,Versace,234.07,"oriental, floral",high-end,10 hours,strong,unisex,casual
Bvlgari Fruity 31,Burberry,297.26,"woody, fruity",high-end,8 hours,light,male,evening
Givenchy Fresh 19,Prada,261.61,"fresh, leather",basic,12+ hours,light,female,formal
Givenchy Floral 26,Givenchy,57.46,"oriental, fresh, fruity",luxury,4 hours,light,female,evening
Montblanc Aquatic 13,Gucci,147.37,fresh,luxury,6 hours,moderate,male,special
Cartier Amber 44,Armani,203.71,"fruity, fresh",basic,8 hours,light,female,daytime
Creed Citrus 18,Jo Malone,193.19,"leather, woody, aquatic",niche,10 hours,moderate,unisex,formal
Dolce & Gabbana Fresh 21,Givenchy,138.56,"fruity, floral, gourmand",luxury,6 hours,light,unisex,special
Chanel Amber 30,Jo Malone,252.8,fresh,luxury,6 hours,strong,male,daytime
Gucci Leather 18,Versace,166.67,"oriental, aquatic",basic,10 hours,light,unisex,formal
Chanel Amber 19,Montblanc,103.03,"leather, floral, gourmand",basic,12+ hours,moderate,male,formal
Lancôme Citrus 49,Lancôme,284.04,"leather, amber",niche,4 hours,moderate,male,formal
Hermes Floral 9,Dolce & Gabbana,241.68,"gourmand, amber, spicy",basic,8 hours,light,male,formal
Montblanc Spicy 23,Calvin Klein,145.78,"fresh, fruity",basic,4 hours,light,male,evening
Prada Leather 16,Tom Ford,71.32,leather,high-end,4 hours,strong,unisex,special
Hugo Boss Woody 19,Jo Malone,79.76,"oriental, aquatic",luxury,4 hours,light,female,daytime
Hermes Amber 5,Armani,296.82,"leather, woody, fruity",high-end,12+ hours,moderate,female,evening
Montblanc Spicy 49,Dolce & Gabbana,127.04,"fresh, leather, spicy",high-end,4 hours,strong,male,evening
Armani Leather 42,Cartier,77.43,leather,basic,12+ hours,moderate,unisex,special
Givenchy Woody 37,Hermes,198.05,woody,niche,8 hours,strong,female,special
Tom Ford Woody 34,Prada,187.45,"leather, spicy",luxury,10 hours,moderate,male,evening
Armani Citrus 38,Montblanc,258.58,"floral, leather, fruity",high-end,12+ hours,moderate,female,casual
Hugo Boss Citrus 14,Calvin Klein,69.16,woody,basic,6 hours,light,unisex,casual
Creed Amber 45,Jo Malone,59.03,floral,niche,12+ hours,strong,unisex,formal
Hermes Citrus 49,Armani,81.38,"citrus, aquatic, spicy",basic,8 hours,strong,unisex,daytime
Cartier Leather 8,Cartier,237.23,gourmand,basic,8 hours,strong,male,daytime
Versace Oriental 27,Hermes,62.02,"spicy, woody",high-end,12+ hours,strong,male,formal
Creed Amber 44,Burberry,149.53,amber,high-end,12+ hours,moderate,unisex,casual
Bvlgari Floral 20,Dior,257.57,"fruity, oriental, aquatic",niche,10 hours,moderate,male,formal
Creed Aquatic 45,Versace,209.95,"amber, fruity",niche,10 hours,strong,male,formal
Cartier Fruity 23,Dior,111.37,"fruity, gourmand",high-end,4 hours,light,male,daytime
Versace Aquatic 11,Hugo Boss,63.84,"gourmand, woody",niche,6 hours,moderate,male,daytime
Armani Woody 13,Hermes,222.06,fruity,niche,6 hours,light,female,casual
Burberry Woody 23,Tom Ford,225.01,fruity,niche,8 hours,strong,unisex,formal
Lancôme Leather 28,Tom Ford,118.11,citrus,luxury,6 hours,light,unisex,evening
Armani Amber 35,Jo Malone,75.84,"fresh, amber",luxury,4 hours,moderate,male,formal
Burberry Citrus 4,Gucci,140.24,"leather, fresh",luxury,10 hours,light,male,formal
Prada Gourmand 43,Prada,135.6,fruity,basic,4 hours,moderate,male,daytime
Chanel Gourmand 36,Tom Ford,96.08,"woody, citrus, amber",basic,12+ hours,moderate,female,evening
Calvin Klein Spicy 50,Bvlgari,214.62,"fruity, leather",luxury,10 hours,strong,female,formal
Givenchy Spicy 35,Versace,111.37,spicy,niche,12+ hours,strong,female,casual
Creed Citrus 45,Bvlgari,250.79,"fresh, leather, citrus",luxury,12+ hours,strong,female,casual
Armani Amber 41,Versace,177.56,"fruity, fresh",basic,6 hours,moderate,unisex,evening
Montblanc Aquatic 10,Chanel,98.87,"floral, aquatic, gourmand",high-end,8 hours,strong,male,formal
Dior Gourmand 33,Hugo Boss,81.57,"leather, woody, oriental",high-end,10 hours,moderate,male,special
Givenchy Aquatic 33,Versace,125.07,"spicy, citrus",high-end,8 hours,light,unisex,special
Hugo Boss Aquatic 24,Chanel,107.91,citrus,niche,6 hours,light,male,evening
Dior Woody 25,Tom Ford,119.98,"fresh, fruity",luxury,10 hours,moderate,unisex,daytime
Hugo Boss Oriental 4,Versace,179.65,"amber, fresh",basic,10 hours,strong,male,formal
Cartier Gourmand 50,Armani,142.69,fruity,high-end,4 hours,moderate,female,daytime
Givenchy Fresh 50,Burberry,103.1,oriental,high-end,12+ hours,light,male,daytime
Calvin Klein Fruity 33,Chanel,130.06,gourmand,luxury,6 hours,moderate,female,formal
Cartier Spicy 20,Montblanc,269.56,"citrus, fruity",niche,8 hours,strong,male,special
Jo Malone Aquatic 36,Montblanc,100.41,"leather, amber, citrus",niche,10 hours,light,female,special
Montblanc Gourmand 24,Versace,52.96,"leather, spicy, aquatic",niche,12+ hours,light,male,evening
Burberry Leather 40,Jo Malone,259.44,citrus,luxury,4 hours,light,male,formal
Yves Saint Laurent Gourmand 6,Cartier,158.09,leather,niche,6 hours,moderate,unisex,evening
Dolce & Gabbana Spicy 45,Burberry,150.2,"aquatic, fresh",basic,10 hours,strong,unisex,special
Montblanc Floral 36,Yves Saint Laurent,187.81,"fresh, amber",niche,4 hours,light,male,special
Tom Ford Spicy 3,Tom Ford,108.77,"citrus, amber",high-end,4 hours,moderate,unisex,evening
Hermes Fresh 48,Prada,76.35,leather,high-end,4 hours,strong,male,formal
Burberry Citrus 18,Tom Ford,275.69,"fresh, spicy",luxury,4 hours,light,unisex,evening
Bvlgari Amber 8,Lancôme,74.57,citrus,luxury,8 hours,strong,unisex,daytime
Givenchy Amber 34,Bvlgari,248.61,"spicy, gourmand, aquatic",luxury,10 hours,light,unisex,evening
Bvlgari Woody 44,Tom Ford,50.43,"aquatic, fresh",basic,6 hours,strong,male,evening
Yves Saint Laurent Aquatic 47,Versace,69.63,"gourmand, oriental",niche,8 hours,light,unisex,evening
Lancôme Citrus 50,Dolce & Gabbana,161.18,"gourmand, aquatic, fresh",niche,8 hours,strong,female,special
Givenchy Amber 34,Dior,101.2,fruity,luxury,4 hours,strong,male,formal
Versace Gourmand 7,Chanel,129.36,gourmand,high-end,10 hours,light,female,casual
Cartier Spicy 7,Versace,84.45,floral,niche,8 hours,light,unisex,daytime
Dior Fruity 4,Montblanc,140.32,"fruity, fresh, gourmand",basic,8 hours,strong,unisex,daytime
Creed Fresh 2,Armani,200.84,"fruity, fresh, oriental",niche,6 hours,moderate,female,formal
Yves Saint Laurent Oriental 22,Hermes,120.91,fresh,niche,6 hours,strong,female,casual
Versace Fresh 20,Dolce & Gabbana,161.18,fruity,high-end,8 hours,strong,male,daytime
Montblanc Woody 46,Cartier,127.03,"spicy, leather",niche,4 hours,moderate,unisex,casual
Yves Saint Laurent Gourmand 31,Versace,242.78,"spicy, gourmand, floral",high-end,12+ hours,light,unisex,casual
Versace Woody 34,Hugo Boss,104.27,leather,basic,6 hours,strong,unisex,daytime
Calvin Klein Spicy 32,Prada,273.66,"gourmand, citrus, floral",basic,4 hours,moderate,female,evening
Burberry Aquatic 30,Jo Malone,108.16,citrus,luxury,6 hours,moderate,female,special
Lancôme Citrus 34,Hermes,176.18,oriental,luxury,12+ hours,strong,unisex,evening
Montblanc Fresh 8,Burberry,69.98,woody,niche,8 hours,light,female,casual
Creed Fruity 49,Versace,250.89,amber,high-end,8 hours,light,unisex,special
Prada Spicy 21,Gucci,224.01,"woody, oriental",basic,8 hours,light,unisex,formal
Burberry Woody 50,Givenchy,163.59,"fruity, oriental",luxury,6 hours,light,female,daytime
Tom Ford Amber 49,Tom Ford,235.0,"aquatic, citrus, woody",niche,4 hours,strong,male,special
Yves Saint Laurent Amber 17,Gucci,292.85,"leather, gourmand",luxury,12+ hours,light,unisex,special
Creed Floral 45,Lancôme,162.16,citrus,luxury,8 hours,moderate,female,evening
Chanel Amber 1,Givenchy,180.53,"gourmand, amber, woody",high-end,8 hours,moderate,male,evening
Prada Floral 44,Dior,205.49,"amber, fruity",luxury,8 hours,strong,male,evening
Hugo Boss Oriental 17,Montblanc,270.64,"gourmand, citrus",niche,8 hours,strong,male,formal
Burberry Floral 26,Burberry,230.5,"amber, fresh, oriental",niche,6 hours,strong,unisex,formal
Burberry Fruity 39,Montblanc,189.67,"floral, leather",luxury,4 hours,strong,female,special
Montblanc Leather 48,Hermes,261.82,woody,luxury,6 hours,light,female,daytime
Lancôme Woody 32,Armani,127.27,"citrus, spicy",luxury,6 hours,moderate,male,evening
Hermes Leather 44,Armani,284.36,gourmand,luxury,8 hours,strong,male,daytime
Dolce & Gabbana Amber 39,Hugo Boss,131.81,leather,high-end,12+ hours,moderate,male,special
Gucci Gourmand 47,Yves Saint Laurent,287.18,"amber, spicy",basic,4 hours,strong,male,evening
Prada Fruity 29,Gucci,115.76,"aquatic, oriental, floral",high-end,6 hours,moderate,male,evening
Hermes Gourmand 41,Burberry,70.95,oriental,basic,12+ hours,light,male,evening
Prada Leather 19,Montblanc,65.02,"amber, fruity",luxury,8 hours,strong,female,casual
Calvin Klein Citrus 35,Givenchy,106.76,fresh,luxury,12+ hours,light,male,evening
Tom Ford Leather 35,Dior,151.21,spicy,high-end,8 hours,light,female,casual
Calvin Klein Fresh 45,Dolce & Gabbana,164.35,"oriental, gourmand, aquatic",niche,8 hours,strong,female,formal
Creed Fruity 26,Lancôme,162.94,"amber, floral, aquatic",high-end,4 hours,light,male,daytime
Tom Ford Amber 32,Cartier,211.8,aquatic,luxury,6 hours,strong,unisex,formal
Prada Gourmand 24,Prada,124.67,"citrus, floral, leather",basic,4 hours,moderate,unisex,evening
Montblanc Fresh 4,Armani,196.63,"fresh, citrus, oriental",niche,12+ hours,light,unisex,casual
Calvin Klein Woody 16,Gucci,80.65,"aquatic, woody",luxury,12+ hours,light,male,casual
Dior Oriental 46,Dior,274.12,aquatic,high-end,6 hours,light,male,evening
Armani Fresh 44,Cartier,259.33,amber,high-end,4 hours,light,male,formal
Prada Spicy 39,Hermes,201.4,"gourmand, citrus, spicy",niche,4 hours,light,unisex,daytime
Montblanc Floral 28,Dior,175.94,"woody, gourmand",high-end,4 hours,moderate,male,casual
Prada Woody 28,Jo Malone,250.88,"aquatic, fresh",luxury,6 hours,strong,unisex,casual
Cartier Oriental 32,Cartier,78.45,"fruity, oriental, woody",luxury,8 hours,light,unisex,evening
Armani Gourmand 46,Tom Ford,262.24,"spicy, leather",high-end,12+ hours,strong,female,formal
Givenchy Fresh 14,Versace,259.96,"oriental, leather",luxury,6 hours,light,male,special
Yves Saint Laurent Citrus 37,Hugo Boss,241.63,"leather, aquatic",luxury,8 hours,moderate,female,daytime
Hugo Boss Amber 26,Dolce & Gabbana,137.11,"oriental, amber",niche,12+ hours,moderate,unisex,daytime
Bvlgari Leather 8,Versace,192.13,citrus,niche,8 hours,light,unisex,evening
Calvin Klein Floral 18,Givenchy,291.64,"aquatic, amber, fresh",luxury,10 hours,moderate,unisex,evening
Creed Fresh 41,Hugo Boss,104.48,"citrus, fresh",luxury,4 hours,light,female,special
Yves Saint Laurent Citrus 1,Yves Saint Laurent,76.82,leather,niche,4 hours,moderate,female,special
Hugo Boss Amber 7,Bvlgari,204.68,"oriental, spicy, woody",niche,6 hours,light,male,formal
Montblanc Fresh 33,Hugo Boss,207.58,"citrus, leather",basic,10 hours,strong,female,daytime
Givenchy Citrus 2,Yves Saint Laurent,221.2,"oriental, floral, aquatic",high-end,12+ hours,moderate,male,daytime
Burberry Aquatic 32,Hugo Boss,141.84,oriental,high-end,10 hours,moderate,female,casual
Jo Malone Aquatic 50,Chanel,288.52,"aquatic, citrus, fresh",niche,10 hours,strong,male,casual
Calvin Klein Citrus 33,Hermes,193.33,"fruity, amber, gourmand",basic,4 hours,light,female,special
Tom Ford Amber 48,Cartier,129.21,gourmand,basic,10 hours,strong,female,evening
Creed Citrus 33,Versace,181.36,"fresh, fruity",niche,10 hours,light,female,special
Hugo Boss Leather 13,Cartier,210.29,"floral, leather",luxury,8 hours,strong,male,daytime
Lancôme Floral 47,Montblanc,287.32,fresh,high-end,4 hours,light,unisex,evening
Yves Saint Laurent Woody 45,Calvin Klein,248.0,amber,basic,4 hours,moderate,unisex,casual
Montblanc Amber 43,Cartier,268.11,"woody, spicy, leather",high-end,6 hours,moderate,male,daytime
Armani Amber 27,Versace,118.88,"fresh, citrus, oriental",basic,6 hours,moderate,female,special
Calvin Klein Fresh 39,Cartier,162.28,oriental,luxury,4 hours,moderate,female,formal
Dolce & Gabbana Fruity 40,Creed,288.66,"spicy, woody, aquatic",high-end,12+ hours,strong,unisex,special
Cartier Floral 23,Burberry,283.8,"woody, fresh, amber",high-end,10 hours,moderate,male,formal
Lancôme Oriental 3,Cartier,190.55,leather,niche,10 hours,light,male,daytime
Dior Spicy 5,Yves Saint Laurent,69.78,floral,high-end,12+ hours,moderate,male,evening
Dior Leather 9,Burberry,280.06,"fruity, floral",basic,12+ hours,strong,female,daytime
Jo Malone Gourmand 15,Hugo Boss,129.68,gourmand,niche,12+ hours,moderate,male,evening
Montblanc Aquatic 37,Hugo Boss,209.19,"fresh, amber, leather",high-end,10 hours,moderate,female,daytime
Creed Oriental 31,Burberry,162.93,"amber, aquatic, gourmand",basic,12+ hours,light,female,evening
Versace Spicy 10,Lancôme,255.03,"amber, citrus, gourmand",luxury,4 hours,moderate,female,evening
Tom Ford Leather 34,Montblanc,139.47,"fresh, leather, oriental",niche,8 hours,strong,female,evening
Jo Malone Amber 25,Cartier,68.76,"gourmand, leather, citrus",high-end,12+ hours,light,unisex,daytime
Dior Woody 48,Chanel,254.69,"fruity, aquatic, amber",basic,4 hours,light,unisex,special
Givenchy Leather 46,Burberry,277.54,leather,high-end,12+ hours,strong,unisex,daytime
Armani Fruity 20,Chanel,172.42,"fresh, gourmand",high-end,6 hours,strong,unisex,casual
Prada Fresh 31,Lancôme,117.78,"aquatic, woody, fruity",high-end,12+ hours,strong,female,evening
Creed Aquatic 11,Cartier,154.32,"citrus, aquatic",basic,6 hours,light,female,casual
Creed Fruity 39,Montblanc,277.25,"spicy, citrus, fruity",basic,4 hours,strong,male,special
Dior Oriental 17,Burberry,118.44,citrus,basic,4 hours,moderate,male,daytime
Burberry Fresh 21,Hugo Boss,166.81,woody,luxury,6 hours,moderate,female,daytime
Bvlgari Floral 11,Dolce & Gabbana,107.29,spicy,basic,6 hours,moderate,male,daytime
Chanel Gourmand 22,Hermes,173.8,"leather, spicy",basic,4 hours,light,female,formal
Versace Spicy 33,Versace,169.42,citrus,luxury,10 hours,light,male,special
Chanel Woody 7,Givenchy,51.68,"aquatic, oriental, citrus",basic,6 hours,strong,male,special
Montblanc Citrus 40,Armani,173.45,gourmand,niche,10 hours,strong,male,formal
Gucci Spicy 26,Versace,225.08,"amber, woody, spicy",basic,8 hours,moderate,unisex,special
Creed Fruity 45,Lancôme,226.76,"leather, woody, citrus",niche,4 hours,moderate,unisex,evening
Givenchy Fresh 41,Burberry,287.79,amber,high-end,8 hours,strong,male,evening
Versace Gourmand 41,Dolce & Gabbana,287.11,"fresh, aquatic",high-end,8 hours,strong,female,evening
Dior Fresh 4,Chanel,120.62,"leather, gourmand",niche,8 hours,strong,unisex,daytime
Prada Citrus 50,Armani,233.03,"aquatic, oriental",basic,6 hours,light,female,evening
Tom Ford Floral 17,Versace,250.6,"woody, floral",basic,8 hours,moderate,unisex,daytime
Prada Fresh 39,Creed,223.8,floral,luxury,6 hours,moderate,unisex,evening
Prada Gourmand 12,Givenchy,97.46,"fresh, amber",high-end,6 hours,strong,female,special
Chanel Fruity 13,Bvlgari,158.96,"amber, fruity, fresh",high-end,6 hours,light,male,daytime
Jo Malone Leather 39,Yves Saint Laurent,196.64,fresh,basic,12+ hours,moderate,female,evening
Burberry Woody 50,Gucci,280.85,aquatic,luxury,6 hours,moderate,unisex,daytime
Tom Ford Oriental 13,Prada,83.35,fresh,basic,4 hours,light,male,daytime
Cartier Amber 14,Creed,159.58,"woody, citrus",niche,8 hours,moderate,unisex,casual
Armani Spicy 18,Cartier,100.5,"floral, oriental, citrus",high-end,6 hours,moderate,male,formal
Creed Woody 25,Tom Ford,174.24,fresh,niche,8 hours,strong,female,casual
Dolce & Gabbana Fruity 14,Jo Malone,81.72,fresh,luxury,6 hours,light,male,special
Gucci Oriental 11,Tom Ford,171.43,"gourmand, spicy",niche,4 hours,moderate,unisex,casual
Tom Ford Woody 19,Lancôme,133.27,oriental,niche,8 hours,strong,female,evening
Creed Fruity 37,Jo Malone,133.02,spicy,luxury,10 hours,strong,female,casual
Versace Fresh 40,Lancôme,144.76,fresh,niche,12+ hours,strong,female,formal
Gucci Spicy 4,Versace,136.8,floral,niche,8 hours,strong,unisex,daytime
Hermes Leather 28,Hugo Boss,108.59,fresh,luxury,12+ hours,moderate,unisex,special
Hugo Boss Amber 37,Lancôme,267.56,"floral, fresh",niche,12+ hours,moderate,unisex,casual
Prada Amber 33,Cartier,169.01,"woody, floral",basic,6 hours,strong,male,evening
Armani Fruity 23,Lancôme,188.59,"woody, floral",niche,4 hours,moderate,male,formal
Dior Floral 3,Hermes,243.88,"amber, aquatic, fresh",basic,8 hours,light,male,formal
Calvin Klein Fresh 17,Hermes,164.13,spicy,luxury,6 hours,strong,unisex,formal
Jo Malone Fresh 14,Versace,114.77,gourmand,luxury,4 hours,moderate,male,formal
Cartier Aquatic 39,Dior,285.77,"floral, oriental, leather",basic,8 hours,moderate,unisex,casual
Burberry Floral 25,Bvlgari,107.64,leather,basic,8 hours,strong,female,casual
Jo Malone Oriental 29,Calvin Klein,260.08,floral,high-end,6 hours,strong,female,daytime
Bvlgari Floral 6,Chanel,66.67,"floral, citrus",high-end,10 hours,moderate,unisex,evening
Yves Saint Laurent Amber 25,Yves Saint Laurent,116.25,leather,luxury,6 hours,strong,male,special
Versace Citrus 22,Tom Ford,237.47,"aquatic, oriental",niche,10 hours,moderate,female,evening
Hermes Aquatic 3,Montblanc,242.54,"spicy, oriental",luxury,10 hours,moderate,female,special
Bvlgari Leather 34,Montblanc,111.02,"aquatic, citrus, fresh",high-end,4 hours,light,unisex,casual
Jo Malone Floral 17,Tom Ford,250.92,"fresh, floral, woody",basic,4 hours,moderate,male,special
Chanel Leather 27,Armani,172.15,"fruity, oriental, spicy",niche,12+ hours,strong,female,special
Hermes Fresh 48,Burberry,101.63,aquatic,high-end,6 hours,strong,male,daytime
Burberry Gourmand 20,Gucci,145.96,amber,basic,12+ hours,light,female,daytime
Hugo Boss Citrus 23,Prada,269.81,"leather, woody",niche,4 hours,strong,female,daytime
Dior Leather 14,Creed,275.79,aquatic,basic,8 hours,strong,female,formal
Tom Ford Fruity 20,Jo Malone,67.51,"amber, fruity",luxury,10 hours,moderate,female,formal
Tom Ford Spicy 45,Dolce & Gabbana,206.23,fresh,niche,6 hours,moderate,unisex,evening
Bvlgari Floral 15,Dior,292.82,"aquatic, citrus",niche,12+ hours,light,female,formal
Givenchy Spicy 29,Burberry,197.97,spicy,niche,4 hours,strong,unisex,formal
Bvlgari Floral 49,Givenchy,62.12,leather,niche,4 hours,light,male,special
Tom Ford Oriental 3,Armani,254.68,"oriental, floral",luxury,4 hours,light,female,evening
Givenchy Gourmand 10,Armani,84.58,gourmand,luxury,4 hours,strong,female,evening
Prada Fresh 28,Prada,269.15,"fresh, amber",high-end,10 hours,strong,unisex,evening
Tom Ford Aquatic 37,Tom Ford,88.59,"gourmand, floral",basic,6 hours,moderate,male,evening
Cartier Citrus 23,Jo Malone,96.23,"spicy, amber, citrus",luxury,12+ hours,light,female,daytime
Versace Aquatic 46,Chanel,263.84,woody,luxury,6 hours,strong,male,casual
Bvlgari Oriental 48,Dolce & Gabbana,169.43,"spicy, leather, floral",luxury,4 hours,light,female,formal
Gucci Woody 39,Dolce & Gabbana,252.69,"gourmand, amber, aquatic",high-end,4 hours,light,male,formal
Givenchy Spicy 39,Prada,200.41,"gourmand, floral",basic,6 hours,strong,male,special
Gucci Oriental 23,Bvlgari,159.4,"aquatic, oriental, floral",luxury,8 hours,strong,unisex,casual
Dior Gourmand 19,Montblanc,273.35,"citrus, aquatic, leather",luxury,4 hours,light,male,evening
Givenchy Citrus 39,Versace,222.21,"gourmand, citrus, spicy",luxury,6 hours,moderate,female,evening
Hugo Boss Leather 15,Yves Saint Laurent,103.62,"floral, amber, oriental",niche,6 hours,light,unisex,casual
Jo Malone Aquatic 24,Versace,89.44,"spicy, leather",high-end,10 hours,light,unisex,daytime
Dolce & Gabbana Fresh 14,Bvlgari,127.94,spicy,luxury,4 hours,strong,female,evening
