name,brand,price,longevity,sillage,gender_preference,occasion
Paco Rabanne 1 Million,Montblanc,83.76,10 hours,Strong,Male,Romantic
Lancome La Vie Est Belle,Versace,223.5,12 hours,Soft,Female,Luxury
Creed Aventus,Montblanc,326.14,8 hours,Soft,Unisex,Romantic
Calvin Klein Eternity,Armani,191.83,12 hours,Moderate,Male,Formal
Burberry Brit,Burberry,60.02,10 hours,Moderate,Male,Daily
Hugo Boss Bottled,Hugo Boss,323.92,8 hours,Moderate,Female,Special Occasion
Gucci Bloom,Creed,217.83,8 hours,Soft,Female,Romantic
Byredo Gypsy Water,Paco Rabanne,193.53,7 hours,Moderate,Female,Summer
Prada Luna Rossa,Armani,209.31,6 hours,Soft,Male,Romantic
Hugo Boss Bottled,Montblanc,59.3,12 hours,Soft,Female,Formal
Maison Francis Kurkdjian Baccarat Rouge 540,Paco Rabanne,312.84,7 hours,Soft,Unisex,Formal
Burberry Brit,Yves Saint Laurent,268.0,10 hours,Soft,Male,Romantic
Hugo Boss Bottled,Dolce & Gabbana,318.87,9 hours,Soft,Male,Luxury
YSL Libre,Dolce & Gabbana,326.16,7 hours,Strong,Female,Daily
Dolce & Gabbana Light Blue,Paco Rabanne,305.55,12 hours,Moderate,Male,Party
Gucci Bloom,Dolce & Gabbana,339.8,7 hours,Strong,Unisex,Special Occasion
Prada Luna Rossa,Montblanc,381.79,8 hours,Soft,Unisex,Romantic
Dior Sauvage,Jo Malone,134.74,9 hours,Soft,Male,Party
Marc Jacobs Daisy,Armani,98.76,10 hours,Soft,Male,Work
Versace Eros,Lancome,123.07,9 hours,Soft,Unisex,Daily
Maison Francis Kurkdjian Baccarat Rouge 540,Dolce & Gabbana,250.66,12 hours,Strong,Male,Romantic
Maison Francis Kurkdjian Baccarat Rouge 540,Versace,298.26,9 hours,Strong,Unisex,Luxury
Creed Aventus,Byredo,184.65,8 hours,Soft,Unisex,Evening
Gucci Bloom,Yves Saint Laurent,299.61,8 hours,Soft,Male,Luxury
Lancome La Vie Est Belle,Prada,335.15,10 hours,Soft,Female,Casual
Marc Jacobs Daisy,Burberry,384.27,12 hours,Strong,Male,Daily
Gucci Bloom,Lancome,240.71,9 hours,Moderate,Unisex,Romantic
Versace Eros,Dolce & Gabbana,397.19,6 hours,Soft,Unisex,Party
Byredo Gypsy Water,Armani,82.84,10 hours,Moderate,Unisex,Special Occasion
Jo Malone Peony & Blush Suede,Marc Jacobs,294.05,10 hours,Strong,Female,Summer
Jo Malone Peony & Blush Suede,Marc Jacobs,98.28,10 hours,Moderate,Unisex,Daily
Dior Sauvage,Prada,103.81,10 hours,Strong,Female,Formal
Maison Francis Kurkdjian Baccarat Rouge 540,Maison Francis Kurkdjian,110.86,7 hours,Soft,Male,Summer
YSL Libre,Yves Saint Laurent,185.12,12 hours,Moderate,Male,Romantic
Calvin Klein Eternity,Creed,192.82,6 hours,Strong,Female,Evening
Dior Sauvage,Calvin Klein,256.4,9 hours,Strong,Unisex,Evening
YSL Libre,Hugo Boss,100.89,6 hours,Strong,Unisex,Casual
Chanel No. 5,Tom Ford,320.39,7 hours,Moderate,Female,Summer
Prada Luna Rossa,Lancome,170.52,12 hours,Strong,Male,Luxury
Byredo Gypsy Water,Gucci,315.74,12 hours,Moderate,Male,Work
Paco Rabanne 1 Million,Dior,343.0,12 hours,Moderate,Male,Luxury
Burberry Brit,Marc Jacobs,108.51,10 hours,Strong,Unisex,Special Occasion
Burberry Brit,Byredo,186.66,12 hours,Moderate,Male,Special Occasion
Gucci Bloom,Yves Saint Laurent,266.45,6 hours,Soft,Unisex,Work
YSL Libre,Lancome,282.92,8 hours,Soft,Male,Luxury
Creed Aventus,Burberry,56.99,8 hours,Soft,Female,Luxury
Dolce & Gabbana Light Blue,Dolce & Gabbana,247.46,6 hours,Moderate,Female,Work
Paco Rabanne 1 Million,Dolce & Gabbana,265.3,12 hours,Soft,Male,Evening
Tom Ford Noir,Montblanc,191.16,7 hours,Strong,Unisex,Luxury
Marc Jacobs Daisy,Prada,363.58,8 hours,Moderate,Female,Luxury
Dolce & Gabbana Light Blue,Hugo Boss,305.14,8 hours,Strong,Female,Work
Jo Malone Peony & Blush Suede,Maison Francis Kurkdjian,149.74,8 hours,Soft,Unisex,Formal
Lancome La Vie Est Belle,Paco Rabanne,392.2,7 hours,Soft,Female,Luxury
Creed Aventus,Gucci,227.76,9 hours,Strong,Male,Work
YSL Libre,Creed,174.71,7 hours,Soft,Male,Daily
Burberry Brit,Gucci,254.12,6 hours,Moderate,Female,Evening
Dior Sauvage,Chanel,306.23,12 hours,Soft,Female,Summer
Dolce & Gabbana Light Blue,Dior,377.04,9 hours,Strong,Unisex,Evening
Byredo Gypsy Water,Marc Jacobs,161.68,6 hours,Strong,Male,Summer
Byredo Gypsy Water,Lancome,98.19,12 hours,Moderate,Male,Romantic
Gucci Bloom,Montblanc,212.72,6 hours,Strong,Female,Luxury
Chanel No. 5,Maison Francis Kurkdjian,121.78,7 hours,Soft,Male,Daily
Marc Jacobs Daisy,Jo Malone,210.0,12 hours,Moderate,Unisex,Casual
Montblanc Legend,Prada,203.05,12 hours,Strong,Female,Evening
Lancome La Vie Est Belle,Versace,275.15,7 hours,Moderate,Male,Luxury
Armani Acqua di Gio,Tom Ford,112.7,7 hours,Moderate,Female,Formal
Lancome La Vie Est Belle,Chanel,234.62,6 hours,Moderate,Male,Daily
Dolce & Gabbana Light Blue,Armani,222.81,9 hours,Strong,Female,Work
Chanel No. 5,Chanel,84.33,12 hours,Moderate,Unisex,Evening
Versace Eros,Armani,318.25,10 hours,Strong,Female,Special Occasion
Hugo Boss Bottled,Versace,250.14,7 hours,Soft,Male,Formal
Hugo Boss Bottled,Tom Ford,111.03,10 hours,Soft,Male,Party
Versace Eros,Gucci,352.58,8 hours,Strong,Male,Luxury
Byredo Gypsy Water,Creed,252.57,6 hours,Moderate,Unisex,Special Occasion
Paco Rabanne 1 Million,Jo Malone,295.64,9 hours,Moderate,Male,Romantic
Paco Rabanne 1 Million,Yves Saint Laurent,292.28,7 hours,Moderate,Male,Special Occasion
Dior Sauvage,Lancome,385.49,6 hours,Strong,Female,Work
Paco Rabanne 1 Million,Yves Saint Laurent,276.73,8 hours,Strong,Female,Casual
Creed Aventus,Gucci,312.41,12 hours,Soft,Female,Romantic
YSL Libre,Byredo,209.22,12 hours,Strong,Unisex,Special Occasion
Montblanc Legend,Byredo,137.49,8 hours,Strong,Unisex,Special Occasion
Byredo Gypsy Water,Creed,223.65,6 hours,Moderate,Unisex,Evening
Creed Aventus,Calvin Klein,284.25,6 hours,Moderate,Male,Daily
Marc Jacobs Daisy,Dolce & Gabbana,383.54,8 hours,Soft,Female,Work
Gucci Bloom,Burberry,109.06,9 hours,Soft,Female,Romantic
Dolce & Gabbana Light Blue,Dolce & Gabbana,231.49,7 hours,Strong,Female,Summer
Tom Ford Noir,Maison Francis Kurkdjian,275.06,6 hours,Moderate,Unisex,Party
Marc Jacobs Daisy,Dolce & Gabbana,384.65,7 hours,Strong,Unisex,Party
YSL Libre,Versace,123.08,9 hours,Moderate,Unisex,Luxury
Dolce & Gabbana Light Blue,Marc Jacobs,55.22,10 hours,Soft,Unisex,Work
Lancome La Vie Est Belle,Armani,384.3,9 hours,Moderate,Male,Formal
Prada Luna Rossa,Jo Malone,374.67,8 hours,Soft,Female,Evening
Byredo Gypsy Water,Chanel,118.88,12 hours,Moderate,Male,Casual
Chanel No. 5,Marc Jacobs,140.8,7 hours,Strong,Unisex,Formal
Chanel No. 5,Versace,297.28,6 hours,Strong,Female,Luxury
Prada Luna Rossa,Tom Ford,307.54,7 hours,Moderate,Unisex,Evening
Lancome La Vie Est Belle,Calvin Klein,78.22,9 hours,Moderate,Female,Evening
YSL Libre,Burberry,154.43,9 hours,Strong,Female,Luxury
Lancome La Vie Est Belle,Prada,283.61,10 hours,Moderate,Female,Special Occasion
Burberry Brit,Calvin Klein,152.21,10 hours,Strong,Male,Formal
Paco Rabanne 1 Million,Montblanc,169.46,8 hours,Soft,Unisex,Summer
Dolce & Gabbana Light Blue,Lancome,334.86,8 hours,Soft,Male,Evening
YSL Libre,Dior,294.39,12 hours,Moderate,Unisex,Luxury
Dior Sauvage,Lancome,282.39,7 hours,Moderate,Unisex,Casual
Tom Ford Noir,Jo Malone,118.09,9 hours,Strong,Male,Special Occasion
YSL Libre,Lancome,310.52,6 hours,Moderate,Unisex,Summer
Chanel No. 5,Prada,263.39,12 hours,Soft,Male,Casual
Armani Acqua di Gio,Calvin Klein,255.18,12 hours,Strong,Unisex,Evening
Dolce & Gabbana Light Blue,Paco Rabanne,262.5,7 hours,Strong,Unisex,Luxury
Calvin Klein Eternity,Calvin Klein,103.2,8 hours,Strong,Unisex,Evening
Burberry Brit,Montblanc,108.3,12 hours,Moderate,Male,Party
Chanel No. 5,Prada,323.63,10 hours,Soft,Male,Daily
Dolce & Gabbana Light Blue,Armani,322.17,7 hours,Soft,Male,Evening
Armani Acqua di Gio,Dolce & Gabbana,389.53,6 hours,Moderate,Female,Casual
Maison Francis Kurkdjian Baccarat Rouge 540,Marc Jacobs,158.76,12 hours,Strong,Female,Work
Gucci Bloom,Calvin Klein,53.36,10 hours,Moderate,Male,Special Occasion
Maison Francis Kurkdjian Baccarat Rouge 540,Dolce & Gabbana,390.68,8 hours,Moderate,Male,Romantic
YSL Libre,Maison Francis Kurkdjian,311.8,10 hours,Strong,Unisex,Luxury
Tom Ford Noir,Maison Francis Kurkdjian,131.15,6 hours,Soft,Unisex,Romantic
Armani Acqua di Gio,Hugo Boss,209.5,10 hours,Soft,Female,Romantic
Dolce & Gabbana Light Blue,Calvin Klein,271.69,10 hours,Soft,Unisex,Daily
Armani Acqua di Gio,Marc Jacobs,235.58,8 hours,Soft,Female,Romantic
Armani Acqua di Gio,Montblanc,126.15,7 hours,Moderate,Unisex,Evening
Montblanc Legend,Creed,333.35,12 hours,Moderate,Female,Summer
Marc Jacobs Daisy,Versace,115.27,6 hours,Moderate,Unisex,Evening
Armani Acqua di Gio,Burberry,237.09,12 hours,Moderate,Female,Casual
Armani Acqua di Gio,Hugo Boss,326.64,10 hours,Moderate,Male,Special Occasion
Hugo Boss Bottled,Yves Saint Laurent,110.56,9 hours,Moderate,Male,Summer
Paco Rabanne 1 Million,Yves Saint Laurent,342.21,8 hours,Moderate,Male,Party
Gucci Bloom,Tom Ford,253.18,10 hours,Soft,Female,Evening
Chanel No. 5,Jo Malone,87.06,7 hours,Moderate,Female,Special Occasion
Creed Aventus,Lancome,308.45,7 hours,Soft,Unisex,Romantic
Marc Jacobs Daisy,Byredo,115.83,12 hours,Strong,Male,Work
Armani Acqua di Gio,Gucci,314.77,6 hours,Strong,Male,Luxury
YSL Libre,Versace,155.04,10 hours,Strong,Female,Party
Calvin Klein Eternity,Calvin Klein,166.99,12 hours,Strong,Male,Luxury
Tom Ford Noir,Chanel,335.87,12 hours,Strong,Female,Daily
Tom Ford Noir,Prada,302.56,8 hours,Strong,Unisex,Special Occasion
Gucci Bloom,Marc Jacobs,127.42,9 hours,Moderate,Female,Special Occasion
Dolce & Gabbana Light Blue,Versace,89.04,7 hours,Moderate,Unisex,Romantic
Calvin Klein Eternity,Dolce & Gabbana,190.27,12 hours,Strong,Unisex,Summer
Maison Francis Kurkdjian Baccarat Rouge 540,Lancome,188.95,6 hours,Strong,Male,Summer
Byredo Gypsy Water,Byredo,399.56,10 hours,Strong,Female,Party
Versace Eros,Chanel,388.08,12 hours,Soft,Male,Formal
Marc Jacobs Daisy,Hugo Boss,157.18,7 hours,Soft,Unisex,Evening
Tom Ford Noir,Versace,148.41,8 hours,Moderate,Unisex,Summer
Chanel No. 5,Yves Saint Laurent,237.78,12 hours,Soft,Male,Work
Byredo Gypsy Water,Chanel,104.39,6 hours,Moderate,Unisex,Formal
Creed Aventus,Lancome,390.65,7 hours,Moderate,Female,Casual
Armani Acqua di Gio,Hugo Boss,175.86,9 hours,Moderate,Male,Luxury
Burberry Brit,Yves Saint Laurent,180.92,9 hours,Soft,Unisex,Work
Armani Acqua di Gio,Paco Rabanne,176.1,7 hours,Moderate,Male,Casual
Creed Aventus,Marc Jacobs,160.73,6 hours,Soft,Male,Party
Chanel No. 5,Yves Saint Laurent,76.25,12 hours,Strong,Male,Summer
Hugo Boss Bottled,Prada,363.84,10 hours,Strong,Unisex,Formal
Prada Luna Rossa,Jo Malone,260.84,9 hours,Moderate,Unisex,Evening
Burberry Brit,Chanel,284.32,9 hours,Soft,Male,Romantic
Byredo Gypsy Water,Maison Francis Kurkdjian,310.83,10 hours,Strong,Female,Formal
Armani Acqua di Gio,Dior,385.4,9 hours,Soft,Female,Romantic
Dolce & Gabbana Light Blue,Gucci,75.8,10 hours,Strong,Male,Special Occasion
Versace Eros,Yves Saint Laurent,224.61,7 hours,Strong,Female,Summer
Gucci Bloom,Marc Jacobs,280.63,7 hours,Strong,Unisex,Evening
Gucci Bloom,Prada,388.37,12 hours,Strong,Male,Casual
Dolce & Gabbana Light Blue,Dior,52.28,7 hours,Moderate,Female,Romantic
Burberry Brit,Yves Saint Laurent,319.96,8 hours,Strong,Male,Daily
Burberry Brit,Dior,188.06,9 hours,Strong,Male,Formal
Chanel No. 5,Calvin Klein,343.27,7 hours,Moderate,Unisex,Party
Versace Eros,Montblanc,154.4,10 hours,Moderate,Unisex,Formal
Tom Ford Noir,Maison Francis Kurkdjian,270.22,8 hours,Moderate,Male,Luxury
Chanel No. 5,Lancome,260.51,12 hours,Moderate,Female,Party
Burberry Brit,Hugo Boss,132.34,7 hours,Soft,Female,Party
Gucci Bloom,Dolce & Gabbana,259.62,8 hours,Soft,Male,Daily
Marc Jacobs Daisy,Versace,239.43,8 hours,Soft,Unisex,Work
Prada Luna Rossa,Versace,386.35,7 hours,Strong,Female,Work
Calvin Klein Eternity,Paco Rabanne,114.73,6 hours,Soft,Female,Evening
Prada Luna Rossa,Montblanc,192.51,12 hours,Strong,Female,Formal
Byredo Gypsy Water,Tom Ford,358.12,12 hours,Strong,Unisex,Summer
Versace Eros,Byredo,240.39,10 hours,Moderate,Male,Summer
Prada Luna Rossa,Yves Saint Laurent,61.45,8 hours,Soft,Unisex,Formal
Lancome La Vie Est Belle,Hugo Boss,126.19,7 hours,Soft,Female,Luxury
Chanel No. 5,Dolce & Gabbana,347.7,6 hours,Strong,Male,Special Occasion
Armani Acqua di Gio,Maison Francis Kurkdjian,91.73,9 hours,Strong,Male,Party
Gucci Bloom,Marc Jacobs,296.59,8 hours,Soft,Female,Summer
Byredo Gypsy Water,Chanel,369.63,9 hours,Soft,Male,Formal
Tom Ford Noir,Gucci,77.93,8 hours,Soft,Unisex,Daily
Dior Sauvage,Maison Francis Kurkdjian,323.37,9 hours,Moderate,Female,Summer
Dolce & Gabbana Light Blue,Dior,326.5,10 hours,Moderate,Female,Evening
Hugo Boss Bottled,Yves Saint Laurent,297.3,10 hours,Soft,Female,Summer
Jo Malone Peony & Blush Suede,Prada,329.25,8 hours,Soft,Female,Party
Paco Rabanne 1 Million,Maison Francis Kurkdjian,229.5,9 hours,Moderate,Unisex,Summer
Prada Luna Rossa,Dior,234.92,8 hours,Moderate,Female,Evening
Calvin Klein Eternity,Gucci,362.7,7 hours,Strong,Female,Casual
Marc Jacobs Daisy,Chanel,306.68,10 hours,Moderate,Male,Luxury
Paco Rabanne 1 Million,Byredo,282.91,12 hours,Strong,Male,Special Occasion
Maison Francis Kurkdjian Baccarat Rouge 540,Maison Francis Kurkdjian,285.14,8 hours,Moderate,Unisex,Casual
Paco Rabanne 1 Million,Dior,291.33,9 hours,Strong,Unisex,Summer
Prada Luna Rossa,Hugo Boss,172.8,10 hours,Strong,Unisex,Romantic
Paco Rabanne 1 Million,Jo Malone,157.7,7 hours,Strong,Unisex,Romantic
Montblanc Legend,Dior,79.91,6 hours,Strong,Female,Work
Burberry Brit,Versace,343.18,10 hours,Soft,Male,Evening
Byredo Gypsy Water,Montblanc,350.92,12 hours,Moderate,Female,Summer
Byredo Gypsy Water,Yves Saint Laurent,180.57,10 hours,Soft,Unisex,Special Occasion
Paco Rabanne 1 Million,Chanel,190.66,10 hours,Soft,Male,Evening
Maison Francis Kurkdjian Baccarat Rouge 540,Tom Ford,50.54,10 hours,Soft,Unisex,Luxury
Gucci Bloom,Byredo,226.25,12 hours,Soft,Female,Evening
Burberry Brit,Byredo,241.35,6 hours,Soft,Male,Evening
Montblanc Legend,Hugo Boss,79.01,7 hours,Soft,Female,Daily
Burberry Brit,Calvin Klein,368.72,10 hours,Strong,Male,Summer
Paco Rabanne 1 Million,Chanel,145.25,7 hours,Strong,Unisex,Casual
Gucci Bloom,Byredo,98.78,8 hours,Soft,Male,Special Occasion
Maison Francis Kurkdjian Baccarat Rouge 540,Armani,180.85,10 hours,Strong,Male,Luxury
Dolce & Gabbana Light Blue,Yves Saint Laurent,225.34,7 hours,Soft,Unisex,Special Occasion
Montblanc Legend,Dolce & Gabbana,363.38,7 hours,Strong,Female,Luxury
Paco Rabanne 1 Million,Byredo,341.9,6 hours,Moderate,Male,Summer
Tom Ford Noir,Calvin Klein,192.1,7 hours,Moderate,Unisex,Romantic
Burberry Brit,Dolce & Gabbana,94.4,8 hours,Soft,Unisex,Evening
Dior Sauvage,Byredo,134.39,7 hours,Soft,Male,Party
Armani Acqua di Gio,Yves Saint Laurent,178.94,7 hours,Moderate,Male,Special Occasion
Chanel No. 5,Dior,394.33,9 hours,Moderate,Male,Formal
Lancome La Vie Est Belle,Tom Ford,359.72,9 hours,Strong,Female,Casual
Tom Ford Noir,Calvin Klein,334.31,12 hours,Soft,Female,Work
Armani Acqua di Gio,Marc Jacobs,106.51,6 hours,Soft,Female,Daily
Prada Luna Rossa,Jo Malone,110.23,7 hours,Strong,Male,Work
Creed Aventus,Paco Rabanne,163.56,12 hours,Moderate,Unisex,Luxury
Hugo Boss Bottled,Calvin Klein,257.55,8 hours,Strong,Male,Formal
Gucci Bloom,Hugo Boss,362.12,8 hours,Moderate,Unisex,Evening
Burberry Brit,Creed,79.87,7 hours,Soft,Male,Casual
Gucci Bloom,Armani,162.14,7 hours,Strong,Male,Daily
Tom Ford Noir,Creed,88.74,9 hours,Strong,Female,Formal
Prada Luna Rossa,Tom Ford,263.19,10 hours,Strong,Male,Casual
Calvin Klein Eternity,Burberry,194.39,12 hours,Moderate,Female,Summer
YSL Libre,Prada,351.5,12 hours,Moderate,Unisex,Evening
Gucci Bloom,Maison Francis Kurkdjian,63.61,8 hours,Strong,Female,Summer
YSL Libre,Marc Jacobs,68.59,7 hours,Moderate,Female,Formal
Gucci Bloom,Jo Malone,364.4,10 hours,Strong,Female,Luxury
Marc Jacobs Daisy,Yves Saint Laurent,306.39,8 hours,Moderate,Female,Luxury
Calvin Klein Eternity,Gucci,270.84,7 hours,Strong,Unisex,Party
Creed Aventus,Calvin Klein,132.04,8 hours,Moderate,Female,Summer
Tom Ford Noir,Yves Saint Laurent,283.15,9 hours,Strong,Unisex,Evening
Chanel No. 5,Lancome,113.75,12 hours,Moderate,Female,Party
Burberry Brit,Paco Rabanne,175.08,10 hours,Soft,Male,Work
Dior Sauvage,Creed,118.59,8 hours,Soft,Male,Work
Burberry Brit,Yves Saint Laurent,116.72,6 hours,Strong,Male,Daily
Versace Eros,Jo Malone,161.7,6 hours,Moderate,Male,Romantic
Maison Francis Kurkdjian Baccarat Rouge 540,Hugo Boss,368.39,6 hours,Soft,Male,Romantic
Marc Jacobs Daisy,Marc Jacobs,280.87,10 hours,Moderate,Unisex,Party
Armani Acqua di Gio,Chanel,152.58,10 hours,Moderate,Female,Work
Marc Jacobs Daisy,Versace,320.33,12 hours,Strong,Unisex,Party
Maison Francis Kurkdjian Baccarat Rouge 540,Dior,253.06,6 hours,Soft,Female,Romantic
Versace Eros,Prada,282.98,9 hours,Strong,Female,Special Occasion
Tom Ford Noir,Calvin Klein,397.43,12 hours,Moderate,Unisex,Romantic
Paco Rabanne 1 Million,Armani,283.6,7 hours,Moderate,Unisex,Special Occasion
Versace Eros,Yves Saint Laurent,228.42,12 hours,Strong,Male,Party
Burberry Brit,Montblanc,120.53,8 hours,Soft,Male,Formal
Burberry Brit,Montblanc,310.13,12 hours,Strong,Female,Luxury
Jo Malone Peony & Blush Suede,Dior,173.62,6 hours,Soft,Unisex,Summer
Dolce & Gabbana Light Blue,Jo Malone,170.69,12 hours,Strong,Unisex,Formal
Armani Acqua di Gio,Chanel,196.36,10 hours,Soft,Male,Party
YSL Libre,Chanel,91.91,8 hours,Soft,Male,Casual
Armani Acqua di Gio,Marc Jacobs,145.82,9 hours,Strong,Female,Evening
Tom Ford Noir,Dior,208.57,8 hours,Strong,Unisex,Evening
Dior Sauvage,Paco Rabanne,71.09,7 hours,Soft,Male,Work
Armani Acqua di Gio,Creed,168.12,9 hours,Strong,Unisex,Daily
Dior Sauvage,Montblanc,222.0,8 hours,Moderate,Unisex,Daily
Versace Eros,Calvin Klein,334.27,9 hours,Strong,Male,Evening
Byredo Gypsy Water,Paco Rabanne,337.13,8 hours,Moderate,Male,Casual
Calvin Klein Eternity,Calvin Klein,187.93,10 hours,Strong,Female,Evening
Prada Luna Rossa,Calvin Klein,227.16,9 hours,Strong,Male,Special Occasion
YSL Libre,Calvin Klein,315.58,8 hours,Soft,Unisex,Formal
Hugo Boss Bottled,Yves Saint Laurent,170.21,12 hours,Moderate,Male,Work
Byredo Gypsy Water,Yves Saint Laurent,66.81,12 hours,Soft,Unisex,Special Occasion
Prada Luna Rossa,Hugo Boss,186.4,10 hours,Moderate,Female,Casual
Maison Francis Kurkdjian Baccarat Rouge 540,Dior,111.9,9 hours,Strong,Unisex,Formal
Armani Acqua di Gio,Paco Rabanne,98.53,9 hours,Strong,Male,Work
Tom Ford Noir,Creed,352.38,9 hours,Moderate,Unisex,Special Occasion
Byredo Gypsy Water,Maison Francis Kurkdjian,263.04,10 hours,Soft,Female,Formal
Jo Malone Peony & Blush Suede,Gucci,307.84,7 hours,Strong,Female,Special Occasion
Tom Ford Noir,Marc Jacobs,110.41,12 hours,Strong,Female,Daily
Tom Ford Noir,Lancome,310.67,7 hours,Strong,Unisex,Casual
YSL Libre,Yves Saint Laurent,187.68,12 hours,Soft,Male,Luxury
Burberry Brit,Versace,243.29,9 hours,Soft,Unisex,Work
Versace Eros,Armani,283.8,10 hours,Moderate,Unisex,Casual
Gucci Bloom,Montblanc,69.2,6 hours,Moderate,Female,Summer
Hugo Boss Bottled,Prada,328.09,8 hours,Soft,Male,Summer
Creed Aventus,Byredo,366.09,12 hours,Strong,Male,Summer
Chanel No. 5,Prada,345.47,8 hours,Moderate,Male,Romantic
Lancome La Vie Est Belle,Tom Ford,378.04,6 hours,Strong,Female,Evening
Byredo Gypsy Water,Gucci,314.77,10 hours,Moderate,Female,Romantic
Hugo Boss Bottled,Hugo Boss,257.79,6 hours,Moderate,Male,Daily
Jo Malone Peony & Blush Suede,Paco Rabanne,69.9,7 hours,Moderate,Unisex,Party
Byredo Gypsy Water,Paco Rabanne,200.41,12 hours,Strong,Unisex,Casual
Armani Acqua di Gio,Hugo Boss,241.27,10 hours,Moderate,Male,Evening
Hugo Boss Bottled,Calvin Klein,284.87,10 hours,Strong,Unisex,Formal
Dolce & Gabbana Light Blue,Gucci,322.55,9 hours,Soft,Male,Party
Versace Eros,Marc Jacobs,149.56,10 hours,Strong,Male,Work
Dolce & Gabbana Light Blue,Armani,275.77,10 hours,Strong,Female,Formal
Calvin Klein Eternity,Paco Rabanne,213.94,8 hours,Soft,Male,Work
Paco Rabanne 1 Million,Tom Ford,57.2,10 hours,Strong,Unisex,Party
Prada Luna Rossa,Hugo Boss,275.58,8 hours,Moderate,Female,Evening
Dior Sauvage,Dolce & Gabbana,121.47,10 hours,Strong,Male,Evening
Versace Eros,Dior,274.73,10 hours,Strong,Male,Luxury
Gucci Bloom,Lancome,99.03,9 hours,Moderate,Unisex,Casual
Tom Ford Noir,Calvin Klein,348.95,9 hours,Soft,Male,Evening
Gucci Bloom,Versace,197.32,9 hours,Strong,Male,Casual
Tom Ford Noir,Armani,184.8,10 hours,Soft,Unisex,Daily
Montblanc Legend,Marc Jacobs,252.72,9 hours,Strong,Female,Special Occasion
Prada Luna Rossa,Byredo,100.07,6 hours,Moderate,Unisex,Casual
Jo Malone Peony & Blush Suede,Tom Ford,60.02,7 hours,Strong,Unisex,Party
YSL Libre,Gucci,117.85,12 hours,Strong,Unisex,Luxury
Creed Aventus,Versace,283.05,6 hours,Soft,Male,Work
Creed Aventus,Montblanc,62.92,7 hours,Strong,Male,Evening
Tom Ford Noir,Byredo,288.85,8 hours,Soft,Unisex,Daily
Chanel No. 5,Chanel,305.43,9 hours,Soft,Female,Romantic
Dolce & Gabbana Light Blue,Yves Saint Laurent,394.73,6 hours,Soft,Female,Work
